intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,training_rounds,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,select_resp.rt,select_resp.duration,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
0.0003,10.8956,1,[5.9009000000059615],[5.901],69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,10.8963,17.294,1,[1.3999999999999986],[1.3999999999999986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,17.2945,33.3431,"[""space"",""space""]","[2.2803999999910545,12.985700000002979]","[null,null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,113.1402,114.8232,f,1.3288,,114.824,117.8222,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,176.838,177.7204,space,0.5009,,177.7206,181.4194,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,181.4214,189.5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,189.5532,197.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.7193,212.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.6191,217.8512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8543,219.3513,219.3521,219.3523,train,313.1144,314.1303,220.8704,224.2015,red,stimuli/collisions/training/stim1.mp4,j,2.9291,,TRUE,224.2043,280.2993,0,1,[42.93149999999997],[42.93149999999997],red,green,blue,40,60,280.2997,284.0989,0,[],[],1,[284.108799999997],[284.108900000006],284.1003,289.0485,1.2109,30,TRUE,TRUE,289.0489,292.5977,"[""space""]",[1.5229000000059614],[null],314.1305,315.9309,f,1.443,,9,"[1.14,0.93,0.73,0.98,1.04,0.5,1.08,1.03,0.72,1.44]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.9323,316.6964,316.6967,316.6967,train,370.295,371.3108,318.2152,324.4633,red,stimuli/collisions/training/stim2.mp4,k,6.019,,TRUE,324.4673,338.7297,100,1,[1.1670999999940364],[1.1672000000029925],red,green,blue,0,0,338.7333,340.6132,0,[],[],1,[340.62359999999404],[340.62359999999404],340.6138,346.2453,-1.8936,-10,TRUE,TRUE,346.2454,349.5282,"[""space""]",[1.2515000000000214],[null],371.311,372.2445,k,0.5823,,9,"[1.13,0.56,0.88,0.85,0.71,0.81,0.96,0.7,0.58]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.245,372.9437,372.9438,372.9439,train,399.8614,399.8616,374.4613,379.7435,green,stimuli/collisions/training/stim3.mp4,k,4.9261,,TRUE,379.7473,395.2773,100,1,[1.933099999993999],[1.933099999993999],red,green,blue,0,0,395.2808,396.7598,0,[],[],1,[396.770200000003],[396.770299999997],396.7603,399.8594,-1.6561,10,TRUE,FALSE,399.8594,399.8596,,,,399.8617,399.8626,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.863,402.393,402.3933,402.3933,test,421.7943,421.7945,403.9106,407.4757,red,stimuli/collisions/hit/stim6.mp4,j,3.212,,TRUE,407.4802,417.4425,0,1,[0.9664999999999964],[0.9664999999999964],red,green,blue,0,100,417.4451,419.2088,0,[],[],1,[419.21920000000296],[419.21920000000296],419.2091,421.792,0.028,30,TRUE,FALSE,421.7921,421.7923,,,,421.7947,421.7952,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.7955,422.8418,422.842,422.8421,test,442.9937,442.9939,424.359,428.0414,blue,stimuli/collisions/hit/stim16.mp4,f,3.337,,TRUE,428.0463,438.9421,0,1,[1.0999000000059596],[1.0999000000059596],red,green,blue,100,0,438.9452,440.1578,0,[],[],1,[440.16820000000297],[440.16820000000297],440.1582,442.9916,-0.527,50,TRUE,FALSE,442.9917,442.9919,,,,442.994,442.9949,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.9953,444.0067,444.0068,444.0069,test,465.4762,465.4764,445.5082,449.0238,red,stimuli/collisions/hit/stim11.mp4,j,3.1614,,TRUE,449.0275,460.2747,0,1,[2.4167999999970675],[2.4167999999970675],red,green,blue,0,100,460.279,462.0236,0,[],[],1,[462.03409999999405],[462.03409999999405],462.0242,465.4741,0.4086,75,TRUE,FALSE,465.4742,465.4743,,,,465.4764,465.4772,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.4776,466.6393,466.6394,466.6394,catch,478.0086,478.0088,468.1408,473.1563,miss,stimuli/collisions/miss/stim1.mp4,space,4.6612,,TRUE,473.1611,473.1679,,0,[],[],red,green,blue,,,473.1702,475.1223,0,[],[],1,[475.133200000003],[475.133200000003],475.1229,478.0059,-0.6612,95,TRUE,FALSE,478.006,478.0062,,,,478.009,478.0101,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.0105,478.7228,478.7229,478.723,test,500.3389,500.339,480.2397,484.1049,blue,stimuli/collisions/hit/stim4.mp4,f,3.519,,TRUE,484.1075,496.0725,0,1,[1.683600000008937],[1.683600000008937],red,green,blue,100,0,496.0762,497.2719,0,[],[],1,[497.28229999999695],[497.28229999999695],497.2722,500.3377,0.491,120,TRUE,FALSE,500.3378,500.3379,,,,500.3391,500.3396,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.3398,501.1048,501.1049,501.105,test,546.4199,547.4359,502.6225,507.7211,green,stimuli/collisions/hit/stim10.mp4,k,4.7505,,TRUE,507.7256,518.4547,100,1,[1.4833999999909793],[1.4833999999909793],red,green,blue,0,0,518.458,519.2208,0,[],[],1,[519.231200000003],[519.231200000003],519.2211,523.1372,-0.5105,140,TRUE,TRUE,523.1373,527.0035,"[""space""]",[1.8424999999999727],[null],547.436,548.3696,k,0.587,,9,"[1.41,0.55,0.68,0.81,0.58,0.69,0.5,1.21,0.61,0.59]",9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.3703,549.052,549.0523,549.0523,test,568.1044,568.1046,550.5703,554.1023,blue,stimuli/collisions/hit/stim18.mp4,f,3.1784,,TRUE,554.1074,564.0201,0,1,[1.2504999999999882],[1.2504999999999882],red,green,blue,100,0,564.0236,565.0686,0,[],[],1,[565.079099999994],[565.079099999994],565.0689,568.1027,-0.0384,160,TRUE,FALSE,568.1028,568.1029,,,,568.1048,568.1058,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.1062,569.0014,569.0015,569.0015,test,585.9366,585.9367,570.5191,573.4012,red,stimuli/collisions/hit/stim9.mp4,j,2.5313,,TRUE,573.4057,582.2683,0,1,[1.8332999999969388],[1.8332999999969388],red,green,blue,0,100,582.2713,583.1014,0,[],[],1,[583.111599999994],[583.111599999994],583.1017,585.9345,0.4387,185,TRUE,FALSE,585.9345,585.9346,,,,585.9369,585.9374,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.9377,586.6005,586.6006,586.6006,test,607.3345,607.3347,588.1183,591.6007,red,stimuli/collisions/hit/stim2.mp4,j,3.1309,,TRUE,591.6046,602.3843,0,1,[1.2834000000059405],[1.2834000000059405],red,green,blue,100,0,602.3877,604.4838,1,[604.4945],[604.4945],0,[],[],604.4843,607.3329,0.7791,180,FALSE,FALSE,607.333,607.3331,,,,607.3348,607.3356,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.336,608.4997,608.4999,608.4999,test,627.8836,627.8837,610.0174,613.5327,green,stimuli/collisions/hit/stim7.mp4,k,3.1637,,TRUE,613.5368,623.3165,100,1,[1.7334999999999354],[1.7334999999999354],red,green,blue,0,0,623.3198,624.6,0,[],[],1,[624.6105],[624.6105],624.6002,627.8822,0.1063,200,TRUE,FALSE,627.8822,627.8823,,,,627.8838,627.8847,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.8849,628.782,628.7821,628.7821,test,644.9494,644.9495,630.3004,634.4819,red,stimuli/collisions/hit/stim17.mp4,j,3.8313,,TRUE,634.4858,641.1158,0,1,[1.566900000005944],[1.566900000005944],red,green,blue,0,100,641.1195,641.9815,0,[],[],1,[641.992200000003],[641.992200000003],641.9817,644.9481,0.4787,225,TRUE,FALSE,644.9482,644.9482,,,,644.9496,644.9502,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.9505,645.9146,645.9146,645.9147,test,662.4821,662.4823,647.4323,650.9145,blue,stimuli/collisions/hit/stim13.mp4,f,3.1283,,TRUE,650.9188,658.8321,0,1,[1.2174000000060232],[1.2174000000060232],red,green,blue,100,0,658.8348,659.5976,0,[],[],1,[659.608200000003],[659.608200000003],659.598,662.4807,0.6417,250,TRUE,FALSE,662.4807,662.4809,,,,662.4824,662.4832,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.4835,663.114,663.1142,663.1143,test,680.9484,680.9486,664.6314,667.8134,blue,stimuli/collisions/hit/stim8.mp4,f,2.828,,TRUE,667.8178,676.8145,0,1,[1.233400000005986],[1.233400000005986],red,green,blue,100,0,676.8175,677.7803,0,[],[],1,[677.790700000003],[677.790700000003],677.7808,680.9467,0.512,275,TRUE,FALSE,680.9467,680.9469,,,,680.9487,680.9494,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69413ea3eaa5a2c002bb190e,2026-02-02_14h20.19.117,causal,2025.1.1,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
